seed,class_a,class_b,num_states,deviation,case_name,distance_function,runtime,precision,recall,f1,states,status,error_message
15852,0,1,4,,distance,levenshtein,0.059271812438964844,0.875,1.0,0.9333333333333333,4,success,
9178,0,1,5,,distance,levenshtein,0.3066079616546631,0.7777777777777778,1.0,0.875,5,success,
59934,0,1,4,,distance,levenshtein,0.1649341583251953,0.875,1.0,0.9333333333333333,4,success,
79820,0,1,7,,distance,levenshtein,0.23746299743652344,1.0,1.0,1.0,7,success,
51134,0,1,4,,distance,levenshtein,0.10149598121643066,0.6363636363636364,1.0,0.7777777777777778,4,success,
88322,0,1,3,,distance,levenshtein,0.04328513145446777,0.875,1.0,0.9333333333333333,3,success,
65447,0,1,5,,distance,levenshtein,0.15137696266174316,0.7777777777777778,1.0,0.875,5,success,
8938,0,1,6,,distance,levenshtein,0.13736200332641602,0.875,1.0,0.9333333333333333,6,success,
93884,0,1,5,,distance,levenshtein,0.2873539924621582,0.7777777777777778,1.0,0.875,5,success,
79121,0,1,3,,distance,levenshtein,0.03257489204406738,1.0,1.0,1.0,3,success,
68503,0,1,3,,distance,levenshtein,0.04688405990600586,0.875,1.0,0.9333333333333333,3,success,
69007,0,1,3,,distance,levenshtein,0.03295183181762695,0.7777777777777778,1.0,0.875,3,success,
33653,0,1,4,,distance,levenshtein,0.057301998138427734,0.7777777777777778,1.0,0.875,4,success,
51338,0,1,5,,distance,levenshtein,0.24095702171325684,0.875,1.0,0.9333333333333333,5,success,
45,0,1,3,,distance,levenshtein,0.03905987739562988,1.0,1.0,1.0,3,success,
89095,0,1,4,,distance,levenshtein,0.5359971523284912,0.7777777777777778,1.0,0.875,4,success,
11517,0,1,8,,distance,levenshtein,0.3524949550628662,1.0,1.0,1.0,8,success,
162,0,1,5,,distance,levenshtein,0.10857510566711426,0.6666666666666666,0.8571428571428571,0.75,5,success,
85303,0,1,6,,distance,levenshtein,0.27678394317626953,0.7777777777777778,1.0,0.875,6,success,
98846,0,1,7,,distance,levenshtein,0.24628591537475586,0.7777777777777778,1.0,0.875,7,success,
75385,0,1,5,,distance,levenshtein,0.0897819995880127,0.875,1.0,0.9333333333333333,5,success,
63198,0,1,5,,distance,levenshtein,0.25269508361816406,0.7777777777777778,1.0,0.875,5,success,
37843,0,1,6,,distance,levenshtein,0.15657997131347656,0.875,1.0,0.9333333333333333,6,success,
87228,0,1,6,,distance,levenshtein,0.14516115188598633,0.7777777777777778,1.0,0.875,6,success,
114,0,1,8,,distance,levenshtein,0.34086084365844727,1.0,1.0,1.0,8,success,
88322,0,1,4,,distance,levenshtein,0.05038285255432129,0.875,1.0,0.9333333333333333,4,success,
79121,0,1,4,,distance,levenshtein,0.03805804252624512,1.0,1.0,1.0,4,success,
69007,0,1,4,,distance,levenshtein,0.043306827545166016,0.7777777777777778,1.0,0.875,4,success,
89149,0,1,6,,distance,levenshtein,0.1322031021118164,1.0,1.0,1.0,6,success,
29382,0,1,3,,distance,levenshtein,0.2607080936431885,1.0,1.0,1.0,3,success,
93344,0,1,6,,distance,levenshtein,0.23527097702026367,1.0,1.0,1.0,6,success,
31055,0,1,6,,distance,levenshtein,0.2151789665222168,0.7777777777777778,1.0,0.875,6,success,
11298,0,1,7,,distance,levenshtein,0.2114701271057129,0.875,1.0,0.9333333333333333,7,success,
97635,0,1,7,,distance,levenshtein,0.2254347801208496,1.0,1.0,1.0,7,success,
58283,0,1,7,,distance,levenshtein,0.23012709617614746,0.875,1.0,0.9333333333333333,7,success,
84787,0,1,6,,distance,levenshtein,0.1590738296508789,0.7777777777777778,1.0,0.875,6,success,
45,0,1,4,,distance,levenshtein,0.05322003364562988,1.0,1.0,1.0,4,success,
26253,0,1,4,,distance,levenshtein,0.15983986854553223,0.875,1.0,0.9333333333333333,4,success,
32584,0,1,5,,distance,levenshtein,0.35274791717529297,0.875,1.0,0.9333333333333333,5,success,
36624,0,1,7,,distance,levenshtein,0.42035698890686035,0.75,0.8571428571428571,0.8,7,success,
65447,0,1,6,,distance,levenshtein,0.1465921401977539,0.7777777777777778,1.0,0.875,6,success,
56085,0,1,8,,distance,levenshtein,0.3826029300689697,0.875,1.0,0.9333333333333333,8,success,
51134,0,1,5,,distance,levenshtein,0.17185306549072266,0.6363636363636364,1.0,0.7777777777777778,5,success,
39871,0,1,8,,distance,levenshtein,0.38236308097839355,1.0,1.0,1.0,8,success,
6886,0,1,5,,distance,levenshtein,0.25629210472106934,1.0,1.0,1.0,5,success,
33653,0,1,5,,distance,levenshtein,0.15871882438659668,0.7777777777777778,1.0,0.875,5,success,
72994,0,1,7,,distance,levenshtein,0.2255089282989502,0.875,1.0,0.9333333333333333,7,success,
68503,0,1,4,,distance,levenshtein,0.17261004447937012,0.875,1.0,0.9333333333333333,4,success,
15852,0,1,5,,distance,levenshtein,0.24566006660461426,0.875,1.0,0.9333333333333333,5,success,
7239,0,1,8,,distance,levenshtein,0.4277920722961426,0.7777777777777778,1.0,0.875,8,success,
88322,0,1,5,,distance,levenshtein,0.06867599487304688,0.875,1.0,0.9333333333333333,5,success,
69007,0,1,5,,distance,levenshtein,0.0717778205871582,0.7777777777777778,1.0,0.875,5,success,
79121,0,1,5,,distance,levenshtein,0.08123493194580078,1.0,1.0,1.0,5,success,
59934,0,1,5,,distance,levenshtein,0.24681401252746582,0.875,1.0,0.9333333333333333,5,success,
75385,0,1,6,,distance,levenshtein,0.13480210304260254,0.875,1.0,0.9333333333333333,6,success,
8938,0,1,7,,distance,levenshtein,0.23722100257873535,0.875,1.0,0.9333333333333333,7,success,
45,0,1,5,,distance,levenshtein,0.07255983352661133,1.0,1.0,1.0,5,success,
8988,0,1,6,,distance,levenshtein,0.502133846282959,0.875,1.0,0.9333333333333333,6,success,
51338,0,1,6,,distance,levenshtein,0.20334601402282715,0.875,1.0,0.9333333333333333,6,success,
58656,0,1,5,,distance,levenshtein,0.36214685440063477,0.7777777777777778,1.0,0.875,5,success,
12153,0,1,8,,distance,levenshtein,0.3532371520996094,0.875,1.0,0.9333333333333333,8,success,
9471,0,1,8,,distance,levenshtein,0.4258401393890381,1.0,1.0,1.0,8,success,
55151,0,1,8,,distance,levenshtein,0.43111491203308105,1.0,1.0,1.0,8,success,
87228,0,1,7,,distance,levenshtein,0.21400117874145508,0.7777777777777778,1.0,0.875,7,success,
26253,0,1,5,,distance,levenshtein,0.11566495895385742,0.875,1.0,0.9333333333333333,5,success,
63198,0,1,6,,distance,levenshtein,0.1761798858642578,0.7777777777777778,1.0,0.875,6,success,
39161,0,1,6,,distance,levenshtein,0.5566511154174805,0.875,1.0,0.9333333333333333,6,success,
37843,0,1,7,,distance,levenshtein,0.24058890342712402,0.875,1.0,0.9333333333333333,7,success,
162,0,1,6,,distance,levenshtein,0.3023049831390381,0.7,1.0,0.8235294117647058,6,success,
89149,0,1,7,,distance,levenshtein,0.21210694313049316,1.0,1.0,1.0,7,success,
68503,0,1,5,,distance,levenshtein,0.11075592041015625,0.875,1.0,0.9333333333333333,5,success,
84787,0,1,7,,distance,levenshtein,0.1860640048980713,0.7777777777777778,1.0,0.875,7,success,
51134,0,1,6,,distance,levenshtein,0.15927720069885254,0.6363636363636364,1.0,0.7777777777777778,6,success,
69007,0,1,6,,distance,levenshtein,0.1323540210723877,0.7777777777777778,1.0,0.875,6,success,
114,0,1,9,,distance,levenshtein,0.30115699768066406,1.0,1.0,1.0,9,success,
11517,0,1,9,,distance,levenshtein,0.3403921127319336,1.0,1.0,1.0,9,success,
88322,0,1,6,,distance,levenshtein,0.13174104690551758,0.875,1.0,0.9333333333333333,6,success,
79820,0,1,8,,distance,levenshtein,0.4416630268096924,1.0,1.0,1.0,8,success,
85303,0,1,7,,distance,levenshtein,0.37099385261535645,0.7777777777777778,1.0,0.875,7,success,
33653,0,1,6,,distance,levenshtein,0.14214801788330078,0.7777777777777778,1.0,0.875,6,success,
79121,0,1,6,,distance,levenshtein,0.15480494499206543,1.0,1.0,1.0,6,success,
45,0,1,6,,distance,levenshtein,0.13084888458251953,1.0,1.0,1.0,6,success,
65447,0,1,7,,distance,levenshtein,0.22381901741027832,0.7777777777777778,1.0,0.875,7,success,
8938,0,1,8,,distance,levenshtein,0.08398222923278809,0.875,1.0,0.9333333333333333,8,success,
89095,0,1,5,,distance,levenshtein,0.4402740001678467,0.7777777777777778,1.0,0.875,5,success,
9178,0,1,6,,distance,levenshtein,0.5558011531829834,0.7777777777777778,1.0,0.875,6,success,
31055,0,1,7,,distance,levenshtein,0.3629910945892334,0.7777777777777778,1.0,0.875,7,success,
11298,0,1,8,,distance,levenshtein,0.33910393714904785,0.875,1.0,0.9333333333333333,8,success,
29382,0,1,4,,distance,levenshtein,0.38820600509643555,1.0,1.0,1.0,4,success,
98846,0,1,8,,distance,levenshtein,0.43381214141845703,0.7777777777777778,1.0,0.875,8,success,
93884,0,1,6,,distance,levenshtein,0.6071689128875732,0.7777777777777778,1.0,0.875,6,success,
58283,0,1,8,,distance,levenshtein,0.37575507164001465,0.875,1.0,0.9333333333333333,8,success,
75385,0,1,7,,distance,levenshtein,0.2948899269104004,0.875,1.0,0.9333333333333333,7,success,
56085,0,1,9,,distance,levenshtein,0.3233509063720703,0.875,1.0,0.9333333333333333,9,success,
93344,0,1,7,,distance,levenshtein,0.45783400535583496,1.0,1.0,1.0,7,success,
97635,0,1,8,,distance,levenshtein,0.4365859031677246,1.0,1.0,1.0,8,success,
28998,0,1,6,,distance,levenshtein,1.397495985031128,1.0,1.0,1.0,6,success,
12153,0,1,9,,distance,levenshtein,0.26310086250305176,0.875,1.0,0.9333333333333333,9,success,
39871,0,1,9,,distance,levenshtein,0.35893797874450684,1.0,1.0,1.0,9,success,
68503,0,1,6,,distance,levenshtein,0.17158007621765137,0.875,1.0,0.9333333333333333,6,success,
51338,0,1,7,,distance,levenshtein,0.3161900043487549,0.875,1.0,0.9333333333333333,7,success,
9471,0,1,9,,distance,levenshtein,0.30817389488220215,1.0,1.0,1.0,9,success,
114,0,1,10,,distance,levenshtein,0.07628798484802246,1.0,0.8571428571428571,0.9230769230769231,10,success,
7239,0,1,9,,distance,levenshtein,0.36722493171691895,0.7777777777777778,1.0,0.875,9,success,
15852,0,1,6,,distance,levenshtein,0.4640319347381592,0.875,1.0,0.9333333333333333,6,success,
11517,0,1,10,,distance,levenshtein,0.09538102149963379,1.0,1.0,1.0,10,success,
32584,0,1,6,,distance,levenshtein,0.5804669857025146,0.875,1.0,0.9333333333333333,6,success,
69007,0,1,7,,distance,levenshtein,0.21095585823059082,0.7777777777777778,1.0,0.875,7,success,
6886,0,1,6,,distance,levenshtein,0.522083044052124,1.0,1.0,1.0,6,success,
72994,0,1,8,,distance,levenshtein,0.4683551788330078,0.8571428571428571,0.8571428571428571,0.8571428571428571,8,success,
79121,0,1,7,,distance,levenshtein,0.20592999458312988,1.0,1.0,1.0,7,success,
55151,0,1,9,,distance,levenshtein,0.3546910285949707,1.0,1.0,1.0,9,success,
88322,0,1,7,,distance,levenshtein,0.25783300399780273,0.875,1.0,0.9333333333333333,7,success,
70332,0,1,7,,distance,levenshtein,0.9659240245819092,1.0,1.0,1.0,7,success,
51134,0,1,7,,distance,levenshtein,0.24494099617004395,0.6363636363636364,1.0,0.7777777777777778,7,success,
45,0,1,7,,distance,levenshtein,0.21657800674438477,1.0,1.0,1.0,7,success,
89149,0,1,8,,distance,levenshtein,0.34574294090270996,1.0,1.0,1.0,8,success,
33653,0,1,7,,distance,levenshtein,0.2648451328277588,0.7777777777777778,1.0,0.875,7,success,
84787,0,1,8,,distance,levenshtein,0.3596370220184326,0.75,0.8571428571428571,0.8,8,success,
59934,0,1,6,,distance,levenshtein,0.5496349334716797,0.875,1.0,0.9333333333333333,6,success,
56085,0,1,10,,distance,levenshtein,0.07174301147460938,0.875,1.0,0.9333333333333333,10,success,
12153,0,1,10,,distance,levenshtein,0.06258320808410645,0.875,1.0,0.9333333333333333,10,success,
26253,0,1,6,,distance,levenshtein,0.5263960361480713,0.875,1.0,0.9333333333333333,6,success,
37843,0,1,8,,distance,levenshtein,0.4195859432220459,0.875,1.0,0.9333333333333333,8,success,
7239,0,1,10,,distance,levenshtein,0.06294798851013184,0.7777777777777778,1.0,0.875,10,success,
36624,0,1,8,,distance,levenshtein,0.7005710601806641,0.7777777777777778,1.0,0.875,8,success,
39871,0,1,10,,distance,levenshtein,0.09049415588378906,1.0,1.0,1.0,10,success,
9471,0,1,10,,distance,levenshtein,0.06984806060791016,1.0,1.0,1.0,10,success,
87228,0,1,8,,distance,levenshtein,0.5577161312103271,0.7777777777777778,1.0,0.875,8,success,
79820,0,1,9,,distance,levenshtein,0.3495059013366699,1.0,1.0,1.0,9,success,
114,0,2,2,,distance,levenshtein,0.1376020908355713,1.0,1.0,1.0,2,success,
11298,0,1,9,,distance,levenshtein,0.29736781120300293,0.875,1.0,0.9333333333333333,9,success,
11517,0,2,2,,distance,levenshtein,0.12295699119567871,1.0,1.0,1.0,2,success,
97635,0,1,9,,distance,levenshtein,0.25948309898376465,1.0,1.0,1.0,9,success,
55151,0,1,10,,distance,levenshtein,0.0718839168548584,1.0,1.0,1.0,10,success,
58283,0,1,9,,distance,levenshtein,0.2984809875488281,0.875,1.0,0.9333333333333333,9,success,
31055,0,1,8,,distance,levenshtein,0.3804969787597656,0.7777777777777778,1.0,0.875,8,success,
162,0,1,7,,distance,levenshtein,0.6084239482879639,0.7,1.0,0.8235294117647058,7,success,
75385,0,1,8,,distance,levenshtein,0.3588531017303467,0.875,1.0,0.9333333333333333,8,success,
12153,0,2,2,,distance,levenshtein,0.0844419002532959,0.875,1.0,0.9333333333333333,2,success,
56085,0,2,2,,distance,levenshtein,0.11354184150695801,0.875,1.0,0.9333333333333333,2,success,
29382,0,1,5,,distance,levenshtein,0.4316279888153076,1.0,1.0,1.0,5,success,
58656,0,1,6,,distance,levenshtein,0.7859618663787842,0.7777777777777778,1.0,0.875,6,success,
9471,0,2,2,,distance,levenshtein,0.09648585319519043,1.0,1.0,1.0,2,success,
39871,0,2,2,,distance,levenshtein,0.08248400688171387,1.0,1.0,1.0,2,success,
7239,0,2,2,,distance,levenshtein,0.1045219898223877,0.7777777777777778,1.0,0.875,2,success,
98846,0,1,9,,distance,levenshtein,0.495103120803833,0.7777777777777778,1.0,0.875,9,success,
89149,0,1,9,,distance,levenshtein,0.26711606979370117,1.0,1.0,1.0,9,success,
63198,0,1,7,,distance,levenshtein,0.8156628608703613,0.7777777777777778,1.0,0.875,7,success,
3075,0,1,5,,distance,levenshtein,1.710594892501831,0.7,1.0,0.8235294117647058,5,success,
55151,0,2,2,,distance,levenshtein,0.10620689392089844,1.0,1.0,1.0,2,success,
97635,0,1,10,,distance,levenshtein,0.06303882598876953,1.0,1.0,1.0,10,success,
79121,0,1,8,,distance,levenshtein,0.37985897064208984,1.0,1.0,1.0,8,success,
79820,0,1,10,,distance,levenshtein,0.09047102928161621,1.0,1.0,1.0,10,success,
45,0,1,8,,distance,levenshtein,0.34684205055236816,1.0,1.0,1.0,8,success,
58283,0,1,10,,distance,levenshtein,0.07354497909545898,0.8571428571428571,0.8571428571428571,0.8571428571428571,10,success,
72994,0,1,9,,distance,levenshtein,0.35384106636047363,0.875,1.0,0.9333333333333333,9,success,
11298,0,1,10,,distance,levenshtein,0.08981990814208984,0.875,1.0,0.9333333333333333,10,success,
70332,0,1,8,,distance,levenshtein,0.4198901653289795,1.0,1.0,1.0,8,success,
8988,0,1,7,,distance,levenshtein,1.0366051197052002,0.875,1.0,0.9333333333333333,7,success,
65447,0,1,8,,distance,levenshtein,0.8065011501312256,0.7777777777777778,1.0,0.875,8,success,
69007,0,1,8,,distance,levenshtein,0.48421406745910645,0.7777777777777778,1.0,0.875,8,success,
39871,0,2,3,,distance,levenshtein,0.12909388542175293,1.0,1.0,1.0,3,success,
39161,0,1,7,,distance,levenshtein,0.9676759243011475,0.875,1.0,0.9333333333333333,7,success,
97635,0,2,2,,distance,levenshtein,0.07362794876098633,1.0,1.0,1.0,2,success,
88322,0,1,8,,distance,levenshtein,0.4842689037322998,0.875,1.0,0.9333333333333333,8,success,
9471,0,2,3,,distance,levenshtein,0.1657581329345703,1.0,1.0,1.0,3,success,
89149,0,1,10,,distance,levenshtein,0.05966305732727051,1.0,1.0,1.0,10,success,
98846,0,1,10,,distance,levenshtein,0.06388401985168457,0.7777777777777778,1.0,0.875,10,success,
58283,0,2,2,,distance,levenshtein,0.11574387550354004,0.875,1.0,0.9333333333333333,2,success,
15852,0,1,7,,distance,levenshtein,0.694464921951294,0.875,1.0,0.9333333333333333,7,success,
9178,0,1,7,,distance,levenshtein,0.8772931098937988,0.7777777777777778,1.0,0.875,7,success,
75385,0,1,9,,distance,levenshtein,0.2955789566040039,0.875,1.0,0.9333333333333333,9,success,
72994,0,1,10,,distance,levenshtein,0.08392691612243652,0.875,1.0,0.9333333333333333,10,success,
85303,0,1,8,,distance,levenshtein,1.0288779735565186,0.7777777777777778,1.0,0.875,8,success,
51338,0,1,8,,distance,levenshtein,0.7134981155395508,0.875,1.0,0.9333333333333333,8,success,
79820,0,2,2,,distance,levenshtein,0.15291881561279297,1.0,1.0,1.0,2,success,
84787,0,1,9,,distance,levenshtein,0.5432960987091064,0.7777777777777778,1.0,0.875,9,success,
51134,0,1,8,,distance,levenshtein,0.6533679962158203,0.6363636363636364,1.0,0.7777777777777778,8,success,
93344,0,1,8,,distance,levenshtein,0.8566899299621582,1.0,1.0,1.0,8,success,
11298,0,2,2,,distance,levenshtein,0.14330005645751953,0.875,1.0,0.9333333333333333,2,success,
68503,0,1,7,,distance,levenshtein,0.8923108577728271,0.875,1.0,0.9333333333333333,7,success,
26253,0,1,7,,distance,levenshtein,0.6217219829559326,0.875,1.0,0.9333333333333333,7,success,
87228,0,1,9,,distance,levenshtein,0.5856430530548096,0.7777777777777778,1.0,0.875,9,success,
98846,0,2,2,,distance,levenshtein,0.08719182014465332,0.7777777777777778,1.0,0.875,2,success,
58656,0,1,7,,distance,levenshtein,0.34564709663391113,0.7777777777777778,1.0,0.875,7,success,
45,0,1,9,,distance,levenshtein,0.28882908821105957,1.0,1.0,1.0,9,success,
79121,0,1,9,,distance,levenshtein,0.2927389144897461,1.0,1.0,1.0,9,success,
97635,0,2,3,,distance,levenshtein,0.20099711418151855,1.0,1.0,1.0,3,success,
93884,0,1,7,,distance,levenshtein,1.0294709205627441,0.7777777777777778,1.0,0.875,7,success,
72994,0,2,2,,distance,levenshtein,0.09300398826599121,0.875,1.0,0.9333333333333333,2,success,
32584,0,1,7,,distance,levenshtein,0.9514989852905273,0.875,1.0,0.9333333333333333,7,success,
89149,0,2,2,,distance,levenshtein,0.2370619773864746,1.0,1.0,1.0,2,success,
33653,0,1,8,,distance,levenshtein,0.9065289497375488,0.7777777777777778,1.0,0.875,8,success,
65447,0,1,9,,distance,levenshtein,0.32570409774780273,0.7777777777777778,1.0,0.875,9,success,
6886,0,1,7,,distance,levenshtein,0.987252950668335,1.0,1.0,1.0,7,success,
75385,0,1,10,,distance,levenshtein,0.0868229866027832,0.875,1.0,0.9333333333333333,10,success,
29382,0,1,6,,distance,levenshtein,0.6431100368499756,1.0,1.0,1.0,6,success,
9471,0,2,4,,distance,levenshtein,0.35670900344848633,1.0,1.0,1.0,4,success,
79121,0,1,10,,distance,levenshtein,0.06184577941894531,1.0,1.0,1.0,10,success,
45,0,1,10,,distance,levenshtein,0.08622217178344727,1.0,1.0,1.0,10,success,
8988,0,1,8,,distance,levenshtein,0.48508787155151367,0.875,1.0,0.9333333333333333,8,success,
8938,0,1,9,,distance,levenshtein,1.4783661365509033,0.875,1.0,0.9333333333333333,9,success,
88322,0,1,9,,distance,levenshtein,0.4119551181793213,0.875,1.0,0.9333333333333333,9,success,
69007,0,1,9,,distance,levenshtein,0.5582139492034912,0.7777777777777778,1.0,0.875,9,success,
65447,0,1,10,,distance,levenshtein,0.06672811508178711,0.7777777777777778,1.0,0.875,10,success,
51134,0,1,9,,distance,levenshtein,0.3449110984802246,0.6363636363636364,1.0,0.7777777777777778,9,success,
75385,0,2,2,,distance,levenshtein,0.11420583724975586,0.875,1.0,0.9333333333333333,2,success,
15852,0,1,8,,distance,levenshtein,0.39487600326538086,0.875,1.0,0.9333333333333333,8,success,
84787,0,1,10,,distance,levenshtein,0.3529548645019531,0.7777777777777778,1.0,0.875,10,success,
79121,0,2,2,,distance,levenshtein,0.08683991432189941,1.0,1.0,1.0,2,success,
56085,0,2,3,,distance,levenshtein,0.9264068603515625,0.875,1.0,0.9333333333333333,3,success,
39871,0,2,4,,distance,levenshtein,0.6268110275268555,1.0,1.0,1.0,4,success,
45,0,2,2,,distance,levenshtein,0.05561494827270508,1.0,1.0,1.0,2,success,
58283,0,2,3,,distance,levenshtein,0.5466229915618896,0.875,1.0,0.9333333333333333,3,success,
51338,0,1,9,,distance,levenshtein,0.46203088760375977,0.875,1.0,0.9333333333333333,9,success,
59934,0,1,7,,distance,levenshtein,1.1967551708221436,0.875,1.0,0.9333333333333333,7,success,
87228,0,1,10,,distance,levenshtein,0.36588501930236816,0.7777777777777778,1.0,0.875,10,success,
68503,0,1,8,,distance,levenshtein,0.40884900093078613,0.875,1.0,0.9333333333333333,8,success,
33653,0,1,9,,distance,levenshtein,0.26175808906555176,0.7777777777777778,1.0,0.875,9,success,
11517,0,2,3,,distance,levenshtein,1.2278060913085938,1.0,1.0,1.0,3,success,
65447,0,2,2,,distance,levenshtein,0.10659408569335938,0.7777777777777778,1.0,0.875,2,success,
84787,0,2,2,,distance,levenshtein,0.10251092910766602,0.7777777777777778,1.0,0.875,2,success,
88322,0,1,10,,distance,levenshtein,0.07467794418334961,0.875,1.0,0.9333333333333333,10,success,
162,0,1,8,,distance,levenshtein,1.2032508850097656,0.7,1.0,0.8235294117647058,8,success,
26253,0,1,8,,distance,levenshtein,0.5471620559692383,0.875,1.0,0.9333333333333333,8,success,
9471,0,2,5,,distance,levenshtein,0.321519136428833,1.0,1.0,1.0,5,success,
51134,0,1,10,,distance,levenshtein,0.08600807189941406,0.6363636363636364,1.0,0.7777777777777778,10,success,
11298,0,2,3,,distance,levenshtein,0.7258250713348389,0.875,1.0,0.9333333333333333,3,success,
87228,0,2,2,,distance,levenshtein,0.13987183570861816,0.7777777777777778,1.0,0.875,2,success,
33653,0,1,10,,distance,levenshtein,0.09146404266357422,0.7777777777777778,1.0,0.875,10,success,
45,0,2,3,,distance,levenshtein,0.24217987060546875,1.0,1.0,1.0,3,success,
12153,0,2,3,,distance,levenshtein,1.4010248184204102,0.875,1.0,0.9333333333333333,3,success,
69007,0,1,10,,distance,levenshtein,0.31697916984558105,0.7777777777777778,1.0,0.875,10,success,
79820,0,2,3,,distance,levenshtein,0.8711800575256348,1.0,1.0,1.0,3,success,
97635,0,2,4,,distance,levenshtein,0.7503890991210938,1.0,1.0,1.0,4,success,
88322,0,2,2,,distance,levenshtein,0.11672401428222656,0.875,1.0,0.9333333333333333,2,success,
51134,0,2,2,,distance,levenshtein,0.06697201728820801,0.6363636363636364,1.0,0.7777777777777778,2,success,
85303,0,1,9,,distance,levenshtein,0.8696749210357666,0.7777777777777778,1.0,0.875,9,success,
72994,0,2,3,,distance,levenshtein,0.7774319648742676,0.875,1.0,0.9333333333333333,3,success,
55151,0,2,3,,distance,levenshtein,1.3466730117797852,1.0,1.0,1.0,3,success,
84787,0,2,3,,distance,levenshtein,0.23448801040649414,0.7777777777777778,1.0,0.875,3,success,
93884,0,1,8,,distance,levenshtein,0.8861048221588135,0.7777777777777778,1.0,0.875,8,success,
3075,0,1,6,,distance,levenshtein,1.4676649570465088,0.7,1.0,0.8235294117647058,6,success,
69007,0,2,2,,distance,levenshtein,0.11751198768615723,0.7777777777777778,1.0,0.875,2,success,
7239,0,2,3,,distance,levenshtein,1.5455329418182373,0.7777777777777778,1.0,0.875,3,success,
85303,0,1,10,,distance,levenshtein,0.06509709358215332,0.7777777777777778,1.0,0.875,10,success,
